,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
Impressions,1.0,0.9994535235814757,0.9998046433344554,0.9948484232272188,0.9836854730593629,-0.045351782778928595,0.14327668103812868,0.20202656746474815,-0.10154442899162969,0.5122264023266924,0.20281204308954665,0.20278936131872757,0.20283747980358813,0.19264046377089228,-0.07170285091709597,0.20302923339186726,0.1981852729471327,0.19642858539193842,0.20244933535243284,0.20275473057174148,0.20290552385905536,-0.07965237656429598,-0.032222885174643605,-0.09914133097851409,-0.08266434435314512,-0.06651512387334095,0.9990953250834997,0.19260681143919603,-0.027656434916687903,0.9966734074569603,0.9752851635037015,0.996316673824287,-0.035885667514092064,-0.021108889326180925,0.01372010284022745
Spend,0.9994535235814757,1.0,0.999537848553974,0.9965430941725827,0.9869794704150664,-0.043991894028041344,0.14782717204171192,0.1786486752254488,-0.10133631178588401,0.5147224626566099,0.17997878065272366,0.17989170344126443,0.18005986759783446,0.16434233173774226,-0.07763975820893895,0.18002364925813952,0.18097024634182707,0.1812319062939222,0.17887600036433632,0.17947357819047008,0.1798085048635519,-0.07781549446335549,-0.03352192061489077,-0.10316333817082403,-0.08737014988596314,-0.07167804187728061,0.9995999721151831,0.16431863204022895,-0.02655401373707315,0.9982601881027461,0.9790448181073089,0.9974970794912036,-0.034074489937941085,-0.020496264760523072,0.01385038558558126
Unique redirects,0.9998046433344554,0.999537848553974,1.0,0.9964825650733787,0.9867732758095035,-0.04214665958218983,0.14674129727977112,0.18483360557184364,-0.0994651508668467,0.5145608826982321,0.1853488630433444,0.18534280692510738,0.18536295783990245,0.17755652376368372,-0.07202594892778755,0.1856455955144838,0.1798982308492223,0.17804390357334982,0.18523942458062678,0.18544815838876247,0.18554418557650412,-0.07883084591998596,-0.0355702944680667,-0.09872286235439692,-0.0832760176950548,-0.0676196981107339,0.9996616477691984,0.1775406024131203,-0.02610856077903695,0.997824583001012,0.9779929985972831,0.9976921172899805,-0.03549062070432248,-0.0209785625784353,0.013493796599752434
Unique interactions,0.9948484232272188,0.9965430941725827,0.9964825650733787,1.0,0.9968143823263595,-0.04055061118375861,0.15601747528547844,0.10203542071656652,-0.09879472648401422,0.5266023933611211,0.10262922493168229,0.10262052185663874,0.10264393432126157,0.09792991235612454,-0.0793934837262108,0.10290610546803866,0.09949692168589169,0.09922840111577585,0.10249848769299251,0.10270439441721883,0.10280265709738265,-0.07462942718588308,-0.045615710570190114,-0.10648539515567833,-0.09273189023706963,-0.07837714940673515,0.998104370478864,0.09791941257380811,-0.02443676512885882,0.9996419840592976,0.9885666418363324,0.999751809256834,-0.03140101420366756,-0.019275958168411416,0.014861347172723163
Total interactions,0.9836854730593629,0.9869794704150664,0.9867732758095035,0.9968143823263595,1.0,-0.03653869355134526,0.1618819880409186,0.02363911363656882,-0.09508514362964865,0.5328395056540398,0.024028267142726295,0.024039047614983485,0.024026405707288322,0.024460477578847686,-0.08324995103817565,0.024363752967321975,0.021421210706014274,0.022081820744715916,0.02416799015039963,0.02425749404160318,0.024289830658960804,-0.06939635337566369,-0.055124152977282695,-0.11013215747731916,-0.09856356911402825,-0.08580615848074763,0.9901954413411027,0.02446451939243572,-0.02165371588678468,0.9946333942915649,0.9916554877059441,0.9953775487225113,-0.027573710311490987,-0.017468716457071126,0.016204149754897156
Unique redirects rate,-0.045351782778928595,-0.043991894028041344,-0.04214665958218983,-0.04055061118375861,-0.03653869355134526,1.0,0.584300494837548,-0.03883313448062389,0.8409612400078966,0.02640414841113442,-0.05088757573614157,-0.05092339891230474,-0.05073837691490163,-0.053688928244767765,0.03270174742872185,-0.04982667907796582,-0.03903789594580244,-0.04471822162180101,-0.04824854768895729,-0.04978522068386529,-0.05023003177456583,0.27155045908057596,-0.19190304974651953,0.19696782251580852,0.055321827557812814,0.011367618655691502,-0.04025184533469115,-0.05282801347986575,0.7533583837963096,-0.04195398287666198,-0.06774489788304763,-0.04218223975281402,0.06132258400535686,-0.1548918773631195,-0.03820163744201551
Unique interactions rate,0.14327668103812868,0.14782717204171192,0.14674129727977112,0.15601747528547844,0.1618819880409186,0.584300494837548,1.0,-0.08894661710831989,0.3665887968991011,0.499580353281331,-0.09691998652988326,-0.09695607151079298,-0.09675289737431035,-0.09807304399723688,0.06792645281897249,-0.09664067692692678,-0.08842514952256156,-0.08709679638651781,-0.09425692462129827,-0.0953849914985978,-0.0957866288071634,0.05816506233452976,0.1643285766745336,0.4456347826338518,0.3831172361862623,0.3241335588494114,0.1497334696238327,-0.09806406866968666,0.45952511987303846,0.15513863166979244,0.13705771586425183,0.15041562131689104,0.019639865749489376,-0.245034452844254,-0.11034537197673555
CTA clicked,0.20202656746474815,0.1786486752254488,0.18483360557184364,0.10203542071656652,0.02363911363656882,-0.03883313448062389,-0.08894661710831989,1.0,-0.029006828499411535,-0.05468424842765213,0.9993744556203775,0.9994422816508444,0.9993236720347661,0.9655130944015629,0.0760617412556326,0.9996031765735791,0.9684302859978292,0.9484641960649514,0.999811925692097,0.9997688894667927,0.9996712712063853,-0.05980353035414879,0.11516889457192124,0.07154825544216305,0.09674665741942953,0.11554621801081054,0.16142710937809776,0.9653930582550748,-0.0304199198258145,0.12235937031023195,0.018046546571283798,0.11881383737054624,-0.0527555968689559,-0.023113792700656034,-0.014526264839549332
CTA click rate,-0.10154442899162969,-0.10133631178588401,-0.0994651508668467,-0.09879472648401422,-0.09508514362964865,0.8409612400078966,0.3665887968991011,-0.029006828499411535,1.0,0.015037402925800115,-0.03956767175979544,-0.039601157660227274,-0.039462158487049835,-0.042671483829872195,0.03254634843536135,-0.038696117712387366,-0.01977455819412525,-0.034641501244797195,-0.03809940236645761,-0.039145947274996616,-0.03941487261730876,0.6647390000695682,-0.08631219574790273,0.28988380465532326,0.1715420153987966,0.13246313448309882,-0.09824867825953573,-0.04054276747496338,0.5320044444793628,-0.10016603016746599,-0.12643308259436295,-0.09952735537023395,0.02553576021251227,-0.16566967960933124,0.03342753277751506
Average duration,0.5122264023266924,0.5147224626566099,0.5145608826982321,0.5266023933611211,0.5328395056540398,0.02640414841113442,0.499580353281331,-0.05468424842765213,0.015037402925800115,1.0,-0.05568599674807159,-0.05557230373897254,-0.055841814753449466,-0.0444503280959871,-0.006782965205514838,-0.057255166440259714,-0.0601862134211722,-0.06555808040948244,-0.05455791100017155,-0.05559653822638261,-0.05625954441241342,0.0810659041757672,-0.029948077726321257,0.23990345213590608,0.2640552106470309,0.2099317457928894,0.5173447715525039,-0.04532230485944731,0.05870932523587628,0.5244081699341931,0.5404466960431711,0.5234614767436185,-0.12713488286368624,-0.21182061502298055,-0.12954012638742038
HTML loading,0.20281204308954665,0.17997878065272366,0.1853488630433444,0.10262922493168229,0.024028267142726295,-0.05088757573614157,-0.09691998652988326,0.9993744556203775,-0.03956767175979544,-0.05568599674807159,1.0,0.9999959526651384,0.9999967420737141,0.9589043553447092,0.07196493145988771,0.9998718524955302,0.9743573039567851,0.9563626081431534,0.9993567049147928,0.9997180676955677,0.9998516859273054,-0.06252282925320976,0.12081941211797177,0.06279689630689073,0.09102068104949324,0.11065016149940957,0.1621784502286427,0.9586885726494206,-0.03488206936649303,0.12335869261098442,0.020179878925458857,0.11944811609561855,-0.05050297219513942,-0.02189645703544726,-0.011085081512359029
