,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
Impressions,1.0,0.8711839938025567,0.9191360116242351,0.9840836271163517,0.9495203167487181,0.10308198787434675,0.25261504458675377,0.47712584685975823,-0.012740364188388678,0.3220460336094323,0.5533724351279418,0.5532724733161253,0.5530414568124753,0.4033437405956558,-0.04448484531108378,0.44670172901230903,0.23513624833364566,0.18638940568097334,0.4566720994365279,0.4430307163028099,0.433147526759468,-0.05876286172118858,-0.0034512520849346376,0.09193033240670165,0.07433132169003573,0.08481455293551175,0.8784355156368779,0.2855737104016505,0.07990955383909665,0.8701503999414961,0.22447231749217192,0.8027919190434889,-0.3128963034183074,0.04739916081872757,0.39803847758236666
Spend,0.8711839938025567,1.0,0.8284823336478184,0.8633213104703503,0.8180185381926083,0.10384865224792822,0.22652997365337252,0.4545792417181757,0.023384109206016312,0.29242126234866805,0.49212423601883826,0.491911924870536,0.4931693334208635,0.38179791799137436,0.005041394876063343,0.41677989703011975,0.2303505665439719,0.18353689845685064,0.421643250312708,0.41297002775627195,0.40332246213527084,-0.03319238482419079,0.025276944441681513,0.1302452081548274,0.11859256287494395,0.12282632264111105,0.7936983623471374,0.30779123971876715,0.09715427352516282,0.7791024045250861,0.1778266664527676,0.7015751357136928,-0.28868884017718316,-0.00023729398417415045,0.2989267620400996
Unique redirects,0.9191360116242351,0.8284823336478184,1.0,0.9404428443308472,0.906041559442242,0.4348033595388254,0.41894700274248003,0.585947472385434,0.2500453394677834,0.3186999822696448,0.538199688685193,0.5398874600199035,0.5388616637199988,0.3665498589206568,-0.024002909322688153,0.4865076232014208,0.277324199111471,0.0935531668809546,0.43169600223986093,0.39629440662335264,0.3814485625095695,0.02088955437075448,-0.088940458959449,0.12361319315335524,0.06316085191314444,0.0597651655886897,0.9849381052004766,0.2550093986368315,0.4043963988903769,0.7756860071593573,0.14448092726397385,0.7217492146680639,-0.33972589493964633,-0.03813084959665729,0.34903630005179787
Unique interactions,0.9840836271163517,0.8633213104703503,0.9404428443308472,1.0,0.9699049191716695,0.1634038412687124,0.38735027689491797,0.5003122008777703,0.030152218069444535,0.3899661497880108,0.5583042091186738,0.5584513422594072,0.5580897689859161,0.4191139642779221,-0.01253538711957134,0.45738269947629073,0.23295390594303386,0.18277767797686237,0.47613167674591195,0.4542127610610163,0.4398815096626502,-0.05599314719113773,0.0031368880426629027,0.1521368310393157,0.11884380938593193,0.1135656569562143,0.9090435193594425,0.26608451791678467,0.1411483420051196,0.871707060525981,0.18042766982093536,0.7653857913199146,-0.2816033605402822,-0.001994213836332628,0.3619677423167924
Total interactions,0.9495203167487181,0.8180185381926083,0.906041559442242,0.9699049191716695,1.0,0.1499914280037786,0.4150422344694468,0.4947461302842422,0.035102349096768924,0.4745381807956322,0.5589604781859155,0.5593034021802047,0.5592028842779014,0.43905041409996254,0.028011177344998934,0.4583734064600521,0.2574578411355026,0.19269212394097235,0.4773862001617723,0.46130055215179694,0.4434118169725812,-0.021675438041367172,0.01553547304018201,0.17071598028160576,0.1488218682983114,0.13503381609532633,0.8794899360223593,0.2630636348787008,0.13388966242659978,0.8360088173735505,0.19052803835765716,0.7382982678501017,-0.2769979625951695,0.009983875756813526,0.34801778474279566
Unique redirects rate,0.10308198787434675,0.10384865224792822,0.4348033595388254,0.1634038412687124,0.1499914280037786,1.0,0.49303579868222297,0.46171282736526625,0.773145640810908,0.01218706922664867,0.20347754875768054,0.2075201961733389,0.20533755796646685,0.08167356169753189,0.07871680783952652,0.29636687052360033,0.18005831493735341,-0.18671645235972323,0.1358046908269726,0.0913124949519727,0.07601850572026862,0.24352308272433137,-0.23809794827732006,0.16658221716862937,0.04322940966638199,0.010432087303255046,0.4851029817673238,0.07396745902745669,0.9631704418321778,0.02645956252168293,-0.29137107885703883,0.044061763112321066,-0.1083260191014992,-0.32837814557071987,0.020060303264908444
Unique interactions rate,0.25261504458675377,0.22652997365337252,0.41894700274248003,0.38735027689491797,0.4150422344694468,0.49303579868222297,1.0,0.28540721841415245,0.332219867459528,0.5152790180226205,0.20869396556126926,0.20898863138302984,0.20836298647900403,0.16330477379229383,0.16188022835215676,0.18066174057361548,0.036612847463605956,-0.006873536573213141,0.2292881959864993,0.20580980307534472,0.18938133146025504,0.050251511474402696,0.014638607376070594,0.4294498558997207,0.33715748138347795,0.2613660791923629,0.4569307045827563,-0.011308053276353173,0.4993130802053077,0.2949497792589738,-0.3068788139989748,0.06928421239500204,0.1689698645510431,-0.36070734523256925,-0.0842209413916386
CTA clicked,0.47712584685975823,0.4545792417181757,0.585947472385434,0.5003122008777703,0.4947461302842422,0.46171282736526625,0.28540721841415245,1.0,0.7602214661778282,0.2540144919837746,0.9405907625848509,0.9416668621807768,0.9409565887893276,0.7302947330337364,0.41398810909700934,0.9012069765656179,0.6874077945170664,0.4546125262099616,0.8193516939571609,0.7866481662257336,0.7701165246349225,0.5016704638299104,0.30756965068852443,0.5682107695808782,0.515680717962065,0.5115635163792636,0.5900640728077678,0.6182329283853694,0.4135162153010581,0.4123151036360094,-0.22798466320183067,0.369595284990924,-0.20347647737840055,-0.3687998746448395,0.20356891914018274
CTA click rate,-0.012740364188388678,0.023384109206016312,0.2500453394677834,0.030152218069444535,0.035102349096768924,0.773145640810908,0.332219867459528,0.7602214661778282,1.0,0.08768799030825682,0.5570362935863116,0.5594308186218737,0.5581478241920987,0.3925755000548883,0.36190019801378337,0.6324824031131338,0.5509757934586678,0.21783690617998136,0.481303120088069,0.44614393783088124,0.43150420531645506,0.6180567781382352,0.16799122792833693,0.4722223293218954,0.3930955060266889,0.37334106123634114,0.29193761663279133,0.4286856091021008,0.7246717285684542,-0.03800871567208968,-0.42278855305618845,-0.01880979624833407,-0.017558998004075947,-0.46750785996240496,0.038936470131672805
Average duration,0.3220460336094323,0.29242126234866805,0.3186999822696448,0.3899661497880108,0.4745381807956322,0.01218706922664867,0.5152790180226205,0.2540144919837746,0.08768799030825682,1.0,0.29176736224233935,0.29296687335500593,0.2943314688707633,0.25965700549253584,0.10866984350588717,0.2280485402782696,0.11351320761397608,0.08746350374369485,0.3188240588277757,0.3225103041453162,0.30493237646098736,0.08829816189972797,0.04962761468456208,0.3320140107396469,0.33885965145061053,0.2899459175677575,0.32150908651963794,0.036598764180465225,-0.01181633252090408,0.2851143191569259,-0.09769427000696297,0.12486414704230824,0.024332981730838203,-0.17025531219134757,-0.09641429824985587
