,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
点消,1.0,-1.0,0.38575837490522985,0.344719146516114,0.34563688416975474,0.35270447411317307,0.33810798796308933,0.3377713257646823,0.26571213389965814,0.1418599801558974,0.35202246478928423,0.17626494427617875,0.026390681886221748,0.34348057339738414,0.3438323978048262,0.3416829382155797,0.3534860957000324,-0.0920438636075529,0.7284140098438605,0.31615890999986623,0.2935516660652921,0.309114886492007,0.33154806201830656,0.33171168697746367,0.33118873800713444,-0.36454901039581467,0.06709649511851365,0.3183730992559316,0.2834017399557478,0.24873456505413674,0.3526165620039319,0.3524096090841289,0.266768474454742,0.38588189912326454,0.31938233903088825,0.38993563611727833,0.5363532514548717,-0.34069257193462343,0.3008327817602013
拖消,-1.0,1.0,-0.38575837490522985,-0.344719146516114,-0.34563688416975474,-0.35270447411317307,-0.33810798796308933,-0.3377713257646823,-0.2657121338996581,-0.1418599801558974,-0.35202246478928423,-0.17626494427617875,-0.02639068188622175,-0.34348057339738414,-0.3438323978048262,-0.3416829382155797,-0.35348609570003237,0.09204386360755287,-0.7284140098438606,-0.31615890999986623,-0.2935516660652921,-0.309114886492007,-0.33154806201830656,-0.33171168697746367,-0.33118873800713444,0.3645490103958147,-0.06709649511851365,-0.3183730992559316,-0.2834017399557478,-0.24873456505413663,-0.3526165620039319,-0.3524096090841289,-0.266768474454742,-0.38588189912326454,-0.3193823390308882,-0.38993563611727833,-0.5363532514548717,0.3406925719346234,-0.3008327817602013
目标物品,0.38575837490522985,-0.38575837490522985,1.0,0.48747159727497763,0.49369515689328736,0.48483310083067244,0.47472940274254594,0.48845152292281596,-0.21342590031465591,0.47226751390579425,0.484662470926143,-0.24386286358936204,-0.029133985411849753,0.47842866608625484,0.47884182739601716,0.4768856089982944,0.4868012469315292,0.18421706869592294,0.521396991517884,0.45046660423117646,0.4163209578572206,0.43203090888293283,0.4638904456880605,0.46387810996796003,0.46316932052299353,-0.4599221361964011,0.3523489867295012,0.6231983443312689,0.6429932661619508,0.6323842086915189,0.4847122105270611,0.4861496522914468,-0.2126824194812165,0.5423640064798435,0.4952907846131448,0.5558583014151387,0.2393693939515633,-0.12266334536566448,1.5412989584422101e-16
Impressions,0.344719146516114,-0.344719146516114,0.48747159727497763,1.0,0.9989655590750866,0.9986641902531423,0.9987527662156848,0.9991282241902336,0.07144194751530998,0.1156464799951152,0.9986606383550202,0.059231565538673814,-0.1383440252099098,0.9990570773012927,0.9991003148525794,0.9989570303290802,0.9985403049522622,-0.004488770306465753,0.05972047981060789,0.9952570536938118,0.9870331100077493,0.9875532292044696,0.9957834740465963,0.9956188342973508,0.9954764867397519,-0.1346799483511805,0.43606316683601004,0.05152946651578207,0.1253892835529274,0.20640170587092702,0.9986582107149683,0.998234411056189,0.0725219569986766,0.9875108113836966,0.9722295372729679,0.9726319842086891,-0.0418662339562984,-0.06428649618938194,-0.06736103733903563
Spend,0.34563688416975474,-0.34563688416975474,0.49369515689328736,0.9989655590750866,1.0,0.9954537178475845,0.9957983947496183,0.9994686260876361,0.06270831803176771,0.10607553885732023,0.9954530737057301,0.05005964621810258,-0.13551233649123867,0.9963582274939885,0.9964367717906035,0.9961511318450215,0.9953729668987744,-0.008833401496600158,0.05879810363526977,0.9916560368212082,0.9807180434625616,0.9811781669606389,0.9913092667545311,0.9910478898764261,0.9908430102057463,-0.14337248247497733,0.4278912362211695,0.05057826839540786,0.12576802912125457,0.2083932084983055,0.9954387024052661,0.9946897288653168,0.06378971718115004,0.9913719504293578,0.9812335773419064,0.9798551816552783,-0.03682421277192269,-0.06447945794816869,-0.06469208510908675
Unique redirects,0.35270447411317307,-0.35270447411317307,0.48483310083067244,0.9986641902531423,0.9954537178475845,1.0,0.9992083799243362,0.9961356899176862,0.08892314169739074,0.1289140575619497,0.9999954020028436,0.07683830612908137,-0.13956524730099718,0.999341067292314,0.9993586375077894,0.999315482335567,0.9996940394322841,-0.003991069087249213,0.06642977728036428,0.9956428182939523,0.9899349346242079,0.9906954978492618,0.997642947024925,0.9975960304018638,0.997514726401034,-0.12389539082686896,0.44209697857778435,0.05718973661079184,0.13061253534029435,0.20993082385330214,0.9999999371978795,0.9998142460918688,0.08999786842849802,0.9825799637009867,0.959887280625271,0.964477999312499,-0.0439701810135609,-0.06403696604062749,-0.06796941753101154
Unique interactions,0.33810798796308933,-0.33810798796308933,0.47472940274254594,0.9987527662156848,0.9957983947496183,0.9992083799243362,1.0,0.9968619732790943,0.0744528988491428,0.129050329865234,0.9991439366621991,0.06228090019772827,-0.13625546628466756,0.999916343366256,0.999906891748583,0.9999530390675749,0.9995367108619423,-0.0008375604126228231,0.0621044325206627,0.9984144097154412,0.9920582633438076,0.993990269276913,0.9991142483830021,0.9990383423961524,0.9989690731770213,-0.12818000120689532,0.45028214669853545,0.052173858982132455,0.12346801136913091,0.20144890780080685,0.9992182931005955,0.9993526688533031,0.07552371068619369,0.979023365369174,0.9612572840198457,0.96020157953885,-0.04502300869496792,-0.0619573298760113,-0.06766717404264719
Total interactions,0.3377713257646823,-0.3377713257646823,0.48845152292281596,0.9991282241902336,0.9994686260876361,0.9961356899176862,0.9968619732790943,1.0,0.0676741474624226,0.12216786351204216,0.9960973189141319,0.05448580781232569,-0.12151218414255938,0.9971988105192425,0.997259646898711,0.9970398156027132,0.9963543874470865,-0.008379292514849408,0.06502030880772212,0.9934697184828881,0.982538440205661,0.983891255290506,0.9930980068924878,0.9928549971573138,0.9926700430212748,-0.14433847614831186,0.4285648339382174,0.05173711468477267,0.12614190930142388,0.2083365410867685,0.9961261657705646,0.9955894180915208,0.06874621034972198,0.9890883181078162,0.9795912667128548,0.9763040509269919,-0.04176669950360012,-0.0621033257096056,-0.06722916072629345
Unique redirects rate,0.26571213389965814,-0.2657121338996581,-0.21342590031465591,0.07144194751530998,0.06270831803176771,0.08892314169739074,0.0744528988491428,0.0676741474624226,1.0,0.3784869265269322,0.08948157269208253,0.9959147802442517,0.026053773432299903,0.07182435993343514,0.07189509581113131,0.07254900573881724,0.0785606028150541,-0.15615655803587294,0.2650504444762511,0.0670986489244044,0.08948705568254592,0.06987458272667346,0.07512660591685934,0.07555163832298799,0.07570322982079614,0.41791816764704504,-0.1737431264430553,0.2803145125052169,0.29596118705781677,0.2563677766384075,0.08887582673406703,0.07912441355788821,0.9999967474777436,0.06935530716289981,0.01696549814335926,0.06297122852090054,-0.323388245164362,-0.23544381091279254,-0.24949444230573875
Unique interactions rate,0.1418599801558974,-0.1418599801558974,0.47226751390579425,0.1156464799951152,0.10607553885732023,0.1289140575619497,0.129050329865234,0.12216786351204216,0.3784869265269322,1.0,0.12814758155790482,0.35301636999236014,0.7481915867264416,0.12601941390966684,0.12587111781059873,0.12647259689834664,0.1339908544293785,-0.37895350280672424,0.5484017276816737,0.13398356381131593,0.11828900418976557,0.14397952172920025,0.13965585255482393,0.14026418928677117,0.14067626233777208,0.0011448190998214443,0.1781621392420852,0.3055600061798513,0.3688356908921909,0.40357831347936657,0.12895643610650218,0.13081633963331743,0.37793694226701824,0.09406536847339522,0.07292994454987115,0.07501864909486804,-0.04182586756207376,0.3025197097334583,-0.07552400018300127
CTA clicked,0.35202246478928423,-0.35202246478928423,0.484662470926143,0.9986606383550202,0.9954530737057301,0.9999954020028436,0.9991439366621991,0.9960973189141319,0.08948157269208253,0.12814758155790482,1.0,0.07752755333567567,-0.14039147901514648,0.9992792951765418,0.9992980113448119,0.9992559305366756,0.9996216336988365,-0.004114436123519708,0.06574325645115872,0.9955074240918791,0.9899976302569026,0.9905051259728936,0.9975192526482979,0.9974716535697886,0.9973896339955421,-0.12321479714519794,0.44154881648574634,0.056928293743348624,0.13039702966659944,0.2098017629692094,0.9999947958520231,0.9997718143399191,0.09055613655298915,0.9827142195156574,0.9599218219176463,0.9646823720938191,-0.04421703909858232,-0.06430932527694277,-0.06819810405484672
CTA click rate,0.17626494427617875,-0.17626494427617875,-0.24386286358936204,0.059231565538673814,0.05005964621810258,0.07683830612908137,0.06228090019772827,0.05448580781232569,0.9959147802442517,0.35301636999236014,0.07752755333567567,1.0,-0.0021496044483015207,0.059495076426156646,0.05955688527065694,0.06031611731489507,0.06579003581071256,-0.14012741729178949,0.21473848580850974,0.054928224876154605,0.08111126724202106,0.05846061017705816,0.06293795537185487,0.06337883010593806,0.06355864363464694,0.44690370324960593,-0.15785829537795773,0.2729092054435729,0.28598032379582866,0.2442534738684899,0.076791529176126,0.06698094895281229,0.9958381782980453,0.0559555676550467,0.0031418708419275222,0.04936814979405081,-0.33291593711534945,-0.23151833692541804,-0.2524775584854133
Average duration,0.026390681886221748,-0.02639068188622175,-0.029133985411849753,-0.1383440252099098,-0.13551233649123867,-0.13956524730099718,-0.13625546628466756,-0.12151218414255938,0.026053773432299903,0.7481915867264416,-0.14039147901514648,-0.0021496044483015207,1.0,-0.1375540698956441,-0.13749321870863468,-0.1378008483226843,-0.1333193100282553,-0.5373591785670891,0.3430025381252393,-0.1333774079630515,-0.1617658152628773,-0.13729330307710116,-0.134319247260233,-0.13434302699096656,-0.13430572071342367,-0.20850715772748227,-0.03260570708701097,0.08734930166281883,0.12684705229359414,0.16877326594652828,-0.13956218401894502,-0.1383062868747783,0.025459776777983147,-0.13042958465194204,-0.09595661654424634,-0.12554816560235885,0.12231023853343598,0.601297306530717,0.062249283581127905
HTML loading,0.34348057339738414,-0.34348057339738414,0.47842866608625484,0.9990570773012927,0.9963582274939885,0.999341067292314,0.999916343366256,0.9971988105192425,0.07182435993343514,0.12601941390966684,0.9992792951765418,0.059495076426156646,-0.1375540698956441,1.0,0.9999993507358448,0.9999918553780728,0.999666954583389,3.610998808305302e-05,0.06089567362004867,0.9978522912538694,0.9909248260789101,0.9929521540606313,0.9987044806696908,0.9986222015974519,0.998542682701912,-0.13136725108731892,0.44956760328097367,0.051623680988550996,0.1237166239241263,0.20256822447330944,0.9993480265377812,0.9994835660790238,0.07290564918763119,0.9808164706683933,0.9626214263061212,0.9625614635324352,-0.04313430278882637,-0.06236552377531157,-0.06719470768451812
HTML loaded,0.3438323978048262,-0.3438323978048262,0.47884182739601716,0.9991003148525794,0.9964367717906035,0.9993586375077894,0.999906891748583,0.997259646898711,0.07189509581113131,0.12587111781059873,0.9992980113448119,0.05955688527065694,-0.13749321870863468,0.9999993507358448,1.0,0.9999877422674476,0.999673870420365,-0.0001612855241412809,0.061001727646132264,0.9977878041167866,0.9908147820933378,0.992820701974116,0.9986506797408916,0.9985670125885642,0.9984859255045393,-0.1314679931707293,0.44924838431583974,0.051733593538804946,0.12390591927601304,0.2028233652391223,0.9993652104282204,0.9994888182792565,0.07297641281536466,0.981033694924934,0.9628444919592648,0.9628602717235005,-0.043025121804577265,-0.06238590434649911,-0.06715232546624204
HTML displayed,0.3416829382155797,-0.3416829382155797,0.4768856089982944,0.9989570303290802,0.9961511318450215,0.999315482335567,0.9999530390675749,0.9970398156027132,0.07254900573881724,0.12647259689834664,0.9992559305366756,0.06031611731489507,-0.1378008483226843,0.9999918553780728,0.9999877422674476,1.0,0.9996242885626183,-0.00013522675264437416,0.06048661073659439,0.9980490846675634,0.9914258968464623,0.9933300163831363,0.998851239904787,0.9987721973731246,0.9986967966467674,-0.1303445542469833,0.4499787014672566,0.051279508616918344,0.12315585577037277,0.20179358676862658,0.9993234335002186,0.9994584757068892,0.0736287754761048,0.9801812305142122,0.962011887019575,0.9617085534370473,-0.043842762374451755,-0.062457756113994456,-0.06751528007959756
HTML completed,0.3534860957000324,-0.35348609570003237,0.4868012469315292,0.9985403049522622,0.9953729668987744,0.9996940394322841,0.9995367108619423,0.9963543874470865,0.0785606028150541,0.1339908544293785,0.9996216336988365,0.06579003581071256,-0.1333193100282553,0.999666954583389,0.999673870420365,0.9996242885626183,1.0,-0.0019494959656137572,0.07020730933976686,0.9966234028161857,0.9893060991587821,0.9920574689783427,0.9984280328249286,0.9983827126305046,0.9983103256277853,-0.12904534362442516,0.4493057686466981,0.059448893779813015,0.1324214354025926,0.21123801228855524,0.9996985785310588,0.9999004709420751,0.07963119922872106,0.9813286220311285,0.9598726124349705,0.9627397819196758,-0.04167670092854526,-0.061246066133652355,-0.0659942646379717
HTML loading rate,-0.0920438636075529,0.09204386360755287,0.18421706869592294,-0.004488770306465753,-0.008833401496600158,-0.003991069087249213,-0.0008375604126228231,-0.008379292514849408,-0.15615655803587294,-0.37895350280672424,-0.004114436123519708,-0.14012741729178949,-0.5373591785670891,3.610998808305302e-05,-0.0001612855241412809,-0.00013522675264437416,-0.0019494959656137572,1.0,-0.31046826444077213,0.0032280465317533437,0.00018228759302136826,0.0086483403656115,0.00267181005840313,0.0027015981759413357,0.0028791631172385736,-0.15753771735967315,0.03414550777043472,-0.28658050377199534,-0.4013590109213731,-0.4257456850238191,-0.003953823899711175,-0.000934220774404753,-0.15571292013274513,-0.017129766991962937,-0.022654329173718134,-0.02532771789455443,-0.15858521949758997,-0.2884343141935387,-0.11623630817704077
HTML completion rate,0.7284140098438605,-0.7284140098438606,0.521396991517884,0.05972047981060789,0.05879810363526977,0.06642977728036428,0.0621044325206627,0.06502030880772212,0.2650504444762511,0.5484017276816737,0.06574325645115872,0.21473848580850974,0.3430025381252393,0.06089567362004867,0.061001727646132264,0.06048661073659439,0.07020730933976686,-0.31046826444077213,1.0,0.05714938084086101,0.04182344792422697,0.05690575070075833,0.06441987817484411,0.06449606660496329,0.06442504383556456,0.22988397809400443,0.09049688999298129,0.6430391851202636,0.6510670182580123,0.6003028182946024,0.06641033278047424,0.06700765950405024,0.2646461675396009,0.06893212842231788,0.05087784424424498,0.06592675214888623,-0.037129888310517875,0.037403467875137104,-0.11821312915073529
Challenge started,0.31615890999986623,-0.31615890999986623,0.45046660423117646,0.9952570536938118,0.9916560368212082,0.9956428182939523,0.9984144097154412,0.9934697184828881,0.0670986489244044,0.13398356381131593,0.9955074240918791,0.054928224876154605,-0.1333774079630515,0.9978522912538694,0.9977878041167866,0.9980490846675634,0.9966234028161857,0.0032280465317533437,0.05714938084086101,1.0,0.9946595450712863,0.9976911829108491,0.9992049509533553,0.9991375518611447,0.9991173054254164,-0.1287275072091735,0.4606362700893716,0.043201149616159375,0.11070489993109765,0.1858617262492235,0.9956709085645826,0.9962065006612063,0.06816568741671523,0.9678505810351823,0.9544318825608812,0.9464337613293394,-0.04861177217241635,-0.05983146462639568,-0.06805451488757432
Challenge failed,0.2935516660652921,-0.2935516660652921,0.4163209578572206,0.9870331100077493,0.9807180434625616,0.9899349346242079,0.9920582633438076,0.982538440205661,0.08948705568254592,0.11828900418976557,0.9899976302569026,0.08111126724202106,-0.1617658152628773,0.9909248260789101,0.9908147820933378,0.9914258968464623,0.9893060991587821,0.00018228759302136826,0.04182344792422697,0.9946595450712863,1.0,0.9957311743330063,0.9940855252336745,0.9941017470306401,0.9941312347944744,-0.08536162537316305,0.45829849267039713,0.042024793770352446,0.10402150629442199,0.17171856045293063,0.9899715030987227,0.9900317056419706,0.09054718660800352,0.952160363343341,0.9335540048984726,0.9270206551532238,-0.06572693053316948,-0.06780119232216257,-0.08005807100052184
Challenge solved,0.309114886492007,-0.309114886492007,0.43203090888293283,0.9875532292044696,0.9811781669606389,0.9906954978492618,0.993990269276913,0.983891255290506,0.06987458272667346,0.14397952172920025,0.9905051259728936,0.05846061017705816,-0.13729330307710116,0.9929521540606313,0.992820701974116,0.9933300163831363,0.9920574689783427,0.0086483403656115,0.05690575070075833,0.9976911829108491,0.9957311743330063,1.0,0.9975118864049688,0.997578485323273,0.9976591881484597,-0.11379900425134362,0.47766982571793193,0.045700606403249876,0.1090643428170602,0.17905339820778457,0.9907432870301989,0.9919898705886092,0.07092186318605759,0.9509503964681709,0.9325324683335925,0.9242446874778009,-0.052113773212808086,-0.05661639983353136,-0.06782452498935285
Challenge pass 25,0.33154806201830656,-0.33154806201830656,0.4638904456880605,0.9957834740465963,0.9913092667545311,0.997642947024925,0.9991142483830021,0.9930980068924878,0.07512660591685934,0.13965585255482393,0.9975192526482979,0.06293795537185487,-0.134319247260233,0.9987044806696908,0.9986506797408916,0.998851239904787,0.9984280328249286,0.00267181005840313,0.06441987817484411,0.9992049509533553,0.9940855252336745,0.9975118864049688,1.0,0.9999968987157717,0.999991228602206,-0.1231108587555482,0.4619308268426922,0.05312451857091788,0.12205200827354858,0.1973978563018194,0.9976665646501212,0.9983038691914069,0.07618685140685919,0.9700107751329484,0.9504678169365449,0.9479613868370786,-0.04691232341288166,-0.05939821844067605,-0.0671591558868529
Challenge pass 50,0.33171168697746367,-0.33171168697746367,0.46387810996796003,0.9956188342973508,0.9910478898764261,0.9975960304018638,0.9990383423961524,0.9928549971573138,0.07555163832298799,0.14026418928677117,0.9974716535697886,0.06337883010593806,-0.13434302699096656,0.9986222015974519,0.9985670125885642,0.9987721973731246,0.9983827126305046,0.0027015981759413357,0.06449606660496329,0.9991375518611447,0.9941017470306401,0.997578485323273,0.9999968987157717,1.0,0.9999979605184878,-0.12295263333462032,0.46229653110392366,0.053030042173485475,0.12211792808929191,0.19755754427106964,0.9976199928946314,0.9982761125422284,0.07661120720538109,0.9696672151804225,0.9497845990960299,0.9474653390879624,-0.04674477617019128,-0.059258411559593334,-0.06695771141250556
Challenge pass 75,0.33118873800713444,-0.33118873800713444,0.46316932052299353,0.9954764867397519,0.9908430102057463,0.997514726401034,0.9989690731770213,0.9926700430212748,0.07570322982079614,0.14067626233777208,0.9973896339955421,0.06355864363464694,-0.13430572071342367,0.998542682701912,0.9984859255045393,0.9986967966467674,0.9983103256277853,0.0028791631172385736,0.06442504383556456,0.9991173054254164,0.9941312347944744,0.9976591881484597,0.999991228602206,0.9999979605184878,1.0,-0.12276495742044224,0.46261740176119853,0.052907889087098404,0.12197413526872483,0.1974834350245054,0.9975391243488795,0.9982112250493691,0.07676193694165401,0.969322132308747,0.9493011979152499,0.9470014545166329,-0.0467116677692114,-0.05910575480985999,-0.06683134064683097
