,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
点消,1.0,-1.0,0.38575837490522974,0.08247860988423225,0.28867513459481287,0.28867513459481287,0.041239304942116126,0.08247860988423225,0.08247860988423225,0.08247860988423225,0.24743582965269675,0.041239304942116126,0.1651842773016356,0.28867513459481287,0.28867513459481287,0.24743582965269675,0.5361109642475097,-0.329914439536929,0.7010681840159741,0.1649572197684645,0.08247860988423225,-0.08247860988423225,0.20619652471058064,0.20619652471058064,0.1649572197684645,-0.12371791482634838,-0.08247860988423225,0.24743582965269675,0.20619652471058064,0.12371791482634838,0.28867513459481287,0.4536323543632774,0.08247860988423225,0.28867513459481287,0.16993191832376592,0.28867513459481287,0.5368489012303157,-0.264727902824188,0.20705152433406399
拖消,-1.0,1.0,-0.38575837490522974,-0.08247860988423225,-0.28867513459481287,-0.28867513459481287,-0.041239304942116126,-0.08247860988423225,-0.08247860988423225,-0.08247860988423225,-0.24743582965269675,-0.041239304942116126,-0.1651842773016356,-0.28867513459481287,-0.28867513459481287,-0.24743582965269675,-0.5361109642475097,0.329914439536929,-0.7010681840159741,-0.1649572197684645,-0.08247860988423225,0.08247860988423225,-0.20619652471058064,-0.20619652471058064,-0.1649572197684645,0.12371791482634838,0.08247860988423225,-0.24743582965269675,-0.20619652471058064,-0.12371791482634838,-0.28867513459481287,-0.4536323543632774,-0.08247860988423225,-0.28867513459481287,-0.16993191832376592,-0.28867513459481287,-0.5368489012303157,0.264727902824188,-0.20705152433406399
目标物品,0.38575837490522974,-0.38575837490522974,1.0,0.3563483225498992,0.44543540318737396,0.0445435403187374,0.31180478223116176,0.40089186286863654,-0.26726124191242434,0.44543540318737396,0.0,-0.26726124191242434,0.11151213215060411,0.31180478223116176,0.31180478223116176,0.31180478223116176,0.40089186286863654,0.0445435403187374,0.5345224838248487,0.44543540318737396,0.0445435403187374,0.1781741612749496,0.5345224838248487,0.5790660241435861,0.5345224838248487,-0.4899789435061113,0.22271770159368698,0.5790660241435861,0.6236095644623235,0.5345224838248487,0.0445435403187374,0.3563483225498992,-0.26726124191242434,0.40089186286863654,0.344151468449797,0.3563483225498992,0.11151213215060411,-0.047656469273246564,0.11182060336826284
Impressions,0.08247860988423225,-0.08247860988423225,0.3563483225498992,1.0,0.9274732620320856,0.9064014834945808,0.9792780748663101,0.8506016042780749,0.21225035588436136,-0.0859028999405998,0.9026489544342013,0.21657754010695188,-0.24137067202497076,0.9756016042780749,0.9756016042780749,0.9742647058823529,0.7699507004403565,0.18513584692239157,-0.004178156611896877,0.8552807486631016,0.7282357646147098,0.5264101918959196,0.8412433155080213,0.8252005347593583,0.7754010695187166,0.1872127385672338,-0.09435967266773157,0.03609625668449198,0.0106951871657754,-0.06149732620320856,0.9086654999553329,0.7201215311574399,0.21557486631016043,0.9097442881543432,0.4352500215100719,0.8491138435458013,-0.017557063453101963,0.06953210400442998,-0.017570296868244722
Spend,0.28867513459481287,-0.28867513459481287,0.44543540318737396,0.9274732620320856,1.0,0.8564265538311325,0.93048128342246,0.7894385026737968,0.21509150238045124,0.0031753990250416265,0.8558536003809563,0.21524064171122995,-0.09226912116190017,0.9361631016042781,0.9358288770053476,0.9147727272727273,0.8015375644262969,0.08570484052826807,0.14205732480449382,0.7777406417112299,0.7114754478226567,0.5546197332798158,0.8078208556149733,0.7977941176470589,0.7296122994652406,0.19458727795573721,0.0026863963748820375,0.14371657754010694,0.14204545454545456,0.03943850267379679,0.8588618731415221,0.7609652442216928,0.21724598930481284,0.9373224265973832,0.4601377355291987,0.8912684315232524,0.1742329535060214,0.10060790467680092,0.11127854683221658
Unique redirects,0.28867513459481287,-0.28867513459481287,0.0445435403187374,0.9064014834945808,0.8564265538311325,1.0,0.9142570744450225,0.7842219731802642,0.518846637833836,-0.02858336825695424,0.9985791927897347,0.5209761062239735,-0.20755663367674837,0.8781547841195884,0.8774862231876358,0.888851759030828,0.6696197265342614,0.0028461441986148864,-0.004011700807993577,0.712184532762384,0.7032966303496497,0.2712263369910699,0.7233829283725882,0.7024903992490731,0.6364700072187652,0.2825423597793671,-0.22367988099200875,0.1345478875554375,0.07705164740752384,-0.017716864696740837,0.9999164263923992,0.6455724723446472,0.5221460878548904,0.828234704112337,0.26725512159381515,0.7819979313086494,-0.0587005653780465,-0.08197612463691296,-0.007866114184831881
Unique interactions,0.041239304942116126,-0.041239304942116126,0.31180478223116176,0.9792780748663101,0.93048128342246,0.9142570744450225,1.0,0.901403743315508,0.2510236492427644,0.0543160359546594,0.9120080252448504,0.24933155080213903,-0.09694943890199656,0.9522058823529411,0.9545454545454546,0.9662433155080213,0.8092253725921872,0.08269177972844616,0.09091668787487604,0.8699866310160428,0.7044361147699943,0.49450654390222754,0.8947192513368984,0.8756684491978609,0.8252005347593583,0.16575953307340577,-0.09536707130831233,0.09358288770053476,0.08790106951871658,0.02807486631016043,0.9160190555922714,0.6976909674254324,0.2540106951871658,0.9155941963089275,0.43164035306454973,0.8618271319834453,0.031268293959333976,0.0739992503510833,0.027945138828541605
Total interactions,0.08247860988423225,-0.08247860988423225,0.40089186286863654,0.8506016042780749,0.7894385026737968,0.7842219731802642,0.901403743315508,1.0,0.21910253272787222,0.267569149425876,0.7849920642431852,0.20755347593582887,0.16648558818342857,0.8104946524064172,0.8178475935828877,0.8703208556149733,0.7873318319458475,-0.05691337066330302,0.18567727983269722,0.8141711229946524,0.5889575320727481,0.3898961612702792,0.9234625668449198,0.902072192513369,0.8643048128342246,0.06268358480227883,-0.10208306224551743,0.20120320855614973,0.22994652406417113,0.204879679144385,0.785326316772137,0.5503857727674716,0.2212566844919786,0.7509610668156281,0.5596885916057057,0.7070930292884362,-0.0603628562530458,0.2724959271458527,-0.005020084819498492
Unique redirects rate,0.08247860988423225,-0.08247860988423225,-0.26726124191242434,0.21225035588436136,0.21509150238045124,0.518846637833836,0.2510236492427644,0.21910253272787222,1.0,0.22212936653852583,0.524987464482701,0.9952369049538361,-0.1381644954109584,0.16077546642579182,0.16144397148369533,0.2012200224289536,0.06134046464984122,-0.15953816107534488,0.05916764165134548,-0.08891117270116554,0.39406797595970733,-0.19949842694588368,0.13436951663860355,0.12868722364642382,0.061001086533694404,0.6652725634130491,-0.17143999413649558,0.49920615198943885,0.35982284741655907,0.18701428994850422,0.5157947517967575,0.3045119779601808,0.9999164403591606,0.08792310937519258,-0.2481379443097155,0.067168577157368,-0.3900502163070347,-0.31447453543278736,-0.2952893297371729
Unique interactions rate,0.08247860988423225,-0.08247860988423225,0.44543540318737396,-0.0859028999405998,0.0031753990250416265,-0.02858336825695424,0.0543160359546594,0.267569149425876,0.22212936653852583,1.0,-0.016379742604044793,0.1918609516183046,0.6685891099771665,-0.07771371298128191,-0.07002590481539166,-0.010863207190931881,0.18067858933645328,-0.3547338544791771,0.4437573123850911,0.09743461218943517,-0.1272214350291016,0.01360216547358298,0.3011615285855269,0.30132865485000276,0.30283279123028567,-0.04408331674921439,0.19024634021219344,0.5309601422398551,0.5580345970849468,0.5209325663713026,-0.030252381748286813,0.06696250202532839,0.22277931054634148,0.01136648562264847,0.16710361563583062,0.03094940666030655,0.14924751041973353,0.18715022537954948,0.14099249662996213
