,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
点消,1.0,-1.0,0.14907119849998599,-0.333358168145344,-0.15550309951605243,-0.22218697387350703,-0.306545142183393,-0.3459502630304209,0.07841518687129302,-0.2943169684726765,-0.2593784273321788,0.009721685691079614,0.0028938540239583613,-0.026167837918445146,-0.022409213997443868,-0.060740903888210254,0.0763583725662051,-0.06297971965316222,0.4861887989531654,-0.2618264848114489,-0.2128546593528206,-0.21095655098536095,-0.2667960421154755,-0.26939333425668155,-0.27220609843433924,-0.25211027965767485,-0.3745409424539296,-0.5324784628165307,-0.5534681068877237,-0.5734553993990793,-0.22174827602831024,-0.13712158166327526,0.07891960971911559,-0.061206127800692164,-0.3929090353251763,0.01867296274501624,0.5593326164796784,-0.3796205690516595,0.5181927900254054
拖消,-1.0,1.0,-0.14907119849998599,0.333358168145344,0.15550309951605243,0.22218697387350703,0.306545142183393,0.3459502630304209,-0.07841518687129302,0.2943169684726765,0.2593784273321788,-0.009721685691079614,-0.0028938540239583613,0.026167837918445146,0.022409213997443868,0.060740903888210254,-0.0763583725662051,0.06297971965316222,-0.4861887989531654,0.2618264848114489,0.2128546593528206,0.21095655098536095,0.2667960421154755,0.26939333425668155,0.27220609843433924,0.25211027965767485,0.3745409424539296,0.5324784628165307,0.5534681068877237,0.5734553993990793,0.22174827602831024,0.13712158166327526,-0.07891960971911559,0.061206127800692164,0.3929090353251763,-0.01867296274501624,-0.5593326164796784,0.3796205690516595,-0.5181927900254054
目标物品,0.14907119849998599,-0.14907119849998599,1.0,0.07016059509178361,0.2735631926303414,-0.452141047148184,0.10855088227810089,-0.07000349964103818,-0.5118108025869675,0.3347255102535051,-0.44240010532645385,-0.508747515140573,-0.04960988307807875,0.01276543655930364,0.013472575338564064,0.021329257652468084,0.08191692758306963,0.24773205239381035,0.19620897920964692,0.08856759019442442,-0.14638021521095482,0.09069846272833523,0.2105604075827664,0.21744470379465672,0.11538814781758808,-0.4014507193485815,0.2737245929854384,0.2151026025196579,0.25652044630456444,0.15708872269672106,-0.4523127450084645,-0.07165190814755394,-0.5119173548945576,0.16318049747917351,-0.14170505031628383,0.2737207587012726,0.21491000253905382,-0.044676705160877024,0.07420337907050274
Impressions,-0.333358168145344,0.333358168145344,0.07016059509178361,1.0,0.8776549027894884,0.4694154355218102,0.9673795096019073,0.6765189496771951,0.022915390435877658,0.028329378276229854,0.4676469761610669,0.02099979769116123,-0.061124043793409605,0.8966114603943525,0.8973386302209743,0.9187543904482404,0.7911510463635587,0.15463667643367346,-0.15224730350858265,0.8779846528230164,0.4790878447747688,0.7704643051431942,0.8303874251365015,0.797658137409032,0.7556606312927517,-0.12239770295058935,0.003487417853911137,-0.14888984990491758,-0.1318156480107654,-0.11928186976195007,0.4696721061925466,0.8887933088648688,0.023672156543839723,0.9128764786648954,0.4344519648556372,0.8905556835390048,-0.20395884588132948,-0.17714686062616275,-0.19066323284790182
Spend,-0.15550309951605243,0.15550309951605243,0.2735631926303414,0.8776549027894884,1.0,0.2322601226542456,0.8626249640112499,0.47282248338329075,-0.1196324740904448,0.03880896220141799,0.22347931444945562,-0.12502247890009002,-0.05066650122774497,0.9291407038559689,0.9294324042242874,0.9324043756556145,0.8214896861889679,0.09005362447227885,-0.09542854305028588,0.8316565610967873,0.20716737088170986,0.9080710849052996,0.8351056028212629,0.8274453911825552,0.7949043813217966,-0.13775974824522308,0.18028928561424462,-0.08564313396432331,-0.06561026695253566,-0.06714503489265634,0.23243351559312547,0.8989675028596321,-0.11915506817752135,0.9698659918543409,0.30820377345140054,0.9132849359370856,-0.0436135678467292,-0.1241152203067681,-0.07443504607018402
Unique redirects,-0.22218697387350703,0.22218697387350703,-0.452141047148184,0.4694154355218102,0.2322601226542456,1.0,0.49811674316749577,0.3704405561441281,0.7924450638129124,0.2671542841631834,0.9975348503034799,0.7847540993266787,0.015772982070440027,0.2544878741654649,0.2573382686347146,0.3019001694647793,0.4241730145516637,-0.09284871783049298,0.09097557376433074,0.368952852146519,0.4888723650076032,0.030110887468284647,0.44227488948087157,0.44559998929169176,0.4465589994020573,0.12419493739579096,-0.28051555153784163,-0.0029237855320632753,0.02464186923635009,0.03518617899155469,0.999998289600505,0.27450352963316005,0.7932046208253177,0.2924652423259421,-0.0785911928561918,0.37497558274693216,-0.2522722366305889,-0.22843848446731058,-0.17879698135041536
Unique interactions,-0.306545142183393,0.306545142183393,0.10855088227810089,0.9673795096019073,0.8626249640112499,0.49811674316749577,1.0,0.7792162652961941,0.1105314305543065,0.2363124163694442,0.48686825471909057,0.0999881238550433,0.10423041110855945,0.8724427931305984,0.8734122455837998,0.8994268301757951,0.8800344362505009,0.07974748568153824,-0.014263017523875285,0.9490109484748357,0.38953324302921133,0.7810878257998998,0.9288052840297137,0.9020265331600926,0.86496179455352,-0.1438422666649127,0.02384182562454126,-0.10052983020667672,-0.0700923962288245,-0.04316155490719086,0.4981384679771051,0.8428565910752995,0.11104449292279156,0.9113091375930751,0.4592618719598592,0.8851624304041544,-0.17483495511592506,-0.1539171452542708,-0.1705576121898729
Total interactions,-0.3459502630304209,0.3459502630304209,-0.07000349964103818,0.6765189496771951,0.47282248338329075,0.3704405561441281,0.7792162652961941,1.0,0.14645272996907924,0.397923692744409,0.3522415599206324,0.1276545479828751,0.4040808201083081,0.4878201295006048,0.4891503624769871,0.5214724203861925,0.6642669169168738,-0.012905568735101994,0.12575502525410803,0.784543567272848,0.31849121706578837,0.4002722097090137,0.7104527340250201,0.665350977991334,0.6159258112722247,-0.14267638026072504,-0.11023333848284617,-0.04499465704813081,-0.03450813661031257,-0.019405141661263208,0.37010260415252183,0.46445482874363103,0.14652165787814453,0.5417608598355723,0.7857664527839442,0.5705082222664235,-0.1557913906510327,-0.02065592893046405,-0.13145117892636846
Unique redirects rate,0.07841518687129302,-0.07841518687129302,-0.5118108025869675,0.022915390435877658,-0.1196324740904448,0.7924450638129124,0.1105314305543065,0.14645272996907924,1.0,0.40370903997201957,0.7819716103453649,0.9963042270651498,0.07486243019594399,-0.12454378914740963,-0.12190786853171333,-0.0865942432213837,0.1763686964742015,-0.1596206767460052,0.26791324886634127,0.01372448870681494,0.24282069563834238,-0.2756681108573695,0.1463117068578644,0.15818006621167696,0.174388031723966,0.42589592245182306,-0.25393184937700425,0.28720834386608196,0.29952286854257515,0.2601203864688792,0.7920066161857053,-0.08782036989699908,0.9999972390504245,-0.09628683555439702,-0.27944866473705016,-0.0168907374821959,-0.33431145417848884,-0.2305892712051492,-0.24534362539583918
Unique interactions rate,-0.2943169684726765,0.2943169684726765,0.3347255102535051,0.028329378276229854,0.03880896220141799,0.2671542841631834,0.2363124163694442,0.397923692744409,0.40370903997201957,1.0,0.24200143572063604,0.3819228038169132,0.7991709343158322,-0.0010125585287789922,0.0006896939989413963,0.027787335045741424,0.37165875660616465,-0.4398494978419328,0.5372727459926578,0.30547363832660923,-0.10450016041176047,0.08494027993000583,0.4194488688957727,0.4309653716058443,0.4374393660286214,0.012024011833022938,0.0627242285406377,0.27155373129782884,0.3408356139293572,0.3891193805808322,0.26648013258105585,-0.016079270748070564,0.40306968434073737,0.0941678945590255,0.14361310037574265,0.08903393667872832,-0.03846096350285956,0.3111851036075425,-0.08282993618032365
