,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
点消,1.0,-1.0,0.14907119849998599,-0.3944053188733077,0.0563436169819011,0.0563436169819011,-0.50709255283711,-0.3944053188733077,-0.0563436169819011,-0.3944053188733077,-0.0563436169819011,-0.0563436169819011,0.2817180849095055,0.1690308509457033,0.1690308509457033,0.0563436169819011,0.2817180849095055,-0.3944053188733077,0.3944053188733077,-0.1690308509457033,-0.0563436169819011,-0.1690308509457033,-0.2817180849095055,-0.2817180849095055,-0.2817180849095055,0.0563436169819011,-0.3944053188733077,-0.50709255283711,-0.50709255283711,-0.50709255283711,0.0563436169819011,0.0563436169819011,-0.0563436169819011,0.0563436169819011,-0.4230785196508496,0.0563436169819011,0.6235022213916492,-0.3626387311292997,0.396774140885595
拖消,-1.0,1.0,-0.14907119849998599,0.3944053188733077,-0.0563436169819011,-0.0563436169819011,0.50709255283711,0.3944053188733077,0.0563436169819011,0.3944053188733077,0.0563436169819011,0.0563436169819011,-0.2817180849095055,-0.1690308509457033,-0.1690308509457033,-0.0563436169819011,-0.2817180849095055,0.3944053188733077,-0.3944053188733077,0.1690308509457033,0.0563436169819011,0.1690308509457033,0.2817180849095055,0.2817180849095055,0.2817180849095055,-0.0563436169819011,0.3944053188733077,0.50709255283711,0.50709255283711,0.50709255283711,-0.0563436169819011,-0.0563436169819011,0.0563436169819011,-0.0563436169819011,0.4230785196508496,-0.0563436169819011,-0.6235022213916492,0.3626387311292997,-0.396774140885595
目标物品,0.14907119849998599,-0.14907119849998599,1.0,0.2519763153394848,0.5039526306789696,-0.629940788348712,0.1259881576697424,0.2519763153394848,-0.3779644730092272,0.2519763153394848,-0.7559289460184544,-0.3779644730092272,0.2519763153394848,0.1259881576697424,0.1259881576697424,0.1259881576697424,0.1259881576697424,0.0,0.2519763153394848,0.2519763153394848,-0.1259881576697424,0.5039526306789696,0.3779644730092272,0.5039526306789696,0.3779644730092272,-0.5039526306789696,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.0,-0.629940788348712,0.0,-0.3779644730092272,0.3779644730092272,0.0,0.2519763153394848,0.06337242505244779,0.06757373783994859,0.31686212526223895
Impressions,-0.3944053188733077,0.3944053188733077,0.2519763153394848,1.0,0.8817733990147784,0.857651277686831,0.9660645867542419,0.7733990147783252,0.2260536398467433,0.0361247947454844,0.8515122565029267,0.22769567597153803,-0.19791952562003792,0.9622331691297209,0.9622331691297209,0.9600437876299945,0.7026139384259121,0.3051603148104208,-0.08621869521003597,0.7821565407772304,0.5684102666415787,0.4840543363337457,0.7985769020251778,0.7608100711548987,0.6743295019157088,0.2824176796521051,-0.11192209894684206,0.061850027367268745,-0.0010946907498631637,-0.11932129173508484,0.8613658216697879,0.7703487637448407,0.2260536398467433,0.8527238206174524,0.17570815743731516,0.7532904925702827,-0.18381052140994,0.003960838702916725,-0.1046863136785945
Spend,0.0563436169819011,-0.0563436169819011,0.5039526306789696,0.8817733990147784,1.0,0.7790857121917398,0.8866995073891626,0.675424192665572,0.23043240284619596,0.15599343185550082,0.7781579380385151,0.22550629447181172,-0.006843690374136857,0.8970990695128627,0.896551724137931,0.8620689655172413,0.7450390106721203,0.16355714714659242,0.11276857913185658,0.6579091406677614,0.5469608226173682,0.5266841216358654,0.7422003284072249,0.7137383689107827,0.5993431855500821,0.2950673517689473,0.02804927295473683,0.210727969348659,0.17788724685276408,0.02681992337164751,0.7830847206219458,0.834750030013086,0.23043240284619596,0.8973446818568248,0.20620844136983024,0.8218212870180887,0.0717710232628976,0.04026852681298671,0.061934834794142295
Unique redirects,0.0563436169819011,-0.0563436169819011,-0.629940788348712,0.857651277686831,0.7790857121917398,1.0,0.8683274346704845,0.6876540087932714,0.5978647910845959,0.09663290808281243,0.9976728361789164,0.5970435482396994,-0.13430996714129245,0.8223378353562848,0.821242844896423,0.8398576827140751,0.5642710525150239,0.0804284639422387,-0.10568104137350762,0.5767862247322544,0.5348700391652419,0.12709905158758592,0.633725728645073,0.5869148864859769,0.4749521119650979,0.3987112994445966,-0.2728676157633942,0.16561730705411196,0.07007938943116142,-0.058308241987646024,0.9998631168291445,0.6074565055213432,0.5978647910845959,0.7317907995618839,-0.06300696246205076,0.6553337664219684,-0.2323606518608558,-0.17151825513377264,-0.07579500170426506
Unique interactions,-0.50709255283711,0.50709255283711,0.1259881576697424,0.9660645867542419,0.8866995073891626,0.8683274346704845,1.0,0.8505747126436781,0.27859879584017516,0.23864258347016967,0.864650343392075,0.270935960591133,-0.0002737476149654743,0.9239189928845101,0.9277504105090312,0.9469074986316366,0.7647461410058428,0.16794794304314523,0.039414260667445015,0.8007662835249042,0.5310112360352629,0.43344865571703595,0.879584017515052,0.8374384236453202,0.7493158182813355,0.2538184209531578,-0.10807219873736838,0.1412151067323481,0.10673234811165845,0.009852216748768473,0.8712193868366492,0.7358187231073985,0.27859879584017516,0.862304987141244,0.16907766093024668,0.7741238540824158,-0.11861394302608648,0.010562236541111268,-0.04412171859228721
Total interactions,-0.3944053188733077,0.3944053188733077,0.2519763153394848,0.7733990147783252,0.675424192665572,0.6876540087932714,0.8505747126436781,1.0,0.28078817733990147,0.48330596606458676,0.6883810109626681,0.2616310892172961,0.2937311908579539,0.7066228790366721,0.7186644772851669,0.8035030103995622,0.7004242572777207,-0.027442474353455103,0.12946489788681592,0.6962233169129721,0.4157892226231577,0.29043260180024744,0.8987411056376574,0.8631636562671046,0.7952928297755884,0.16994559496105258,-0.12979663563368415,0.25177887246852765,0.2583470169677066,0.21510673234811165,0.6894758515367638,0.5368599175297556,0.28078817733990147,0.6090884432981803,0.3613620596352331,0.5359108125818424,-0.2564033502827181,0.2581146554734066,-0.10167178632135748
Unique redirects rate,-0.0563436169819011,0.0563436169819011,-0.3779644730092272,0.2260536398467433,0.23043240284619596,0.5978647910845959,0.27859879584017516,0.28078817733990147,1.0,0.21839080459770116,0.6059942577619671,0.9950738916256158,-0.06214070859716267,0.180623973727422,0.18171866447728516,0.23535851122058019,0.06760640545040916,-0.1608128997112469,0.027097304208868446,-0.1330049261083744,0.43036384484473666,-0.28328179910440804,0.17898193760262726,0.16037219485495346,0.06513409961685823,0.6547580284826313,-0.22989404107999992,0.5232621784345922,0.38368910782703886,0.22550629447181172,0.5939510114469144,0.1660730525896028,1.0,0.05338078491826749,-0.3016875910716166,0.02220397740108912,-0.4415835477091256,-0.2749482199608027,-0.2677448389109603
Unique interactions rate,-0.3944053188733077,0.3944053188733077,0.2519763153394848,0.0361247947454844,0.15599343185550082,0.09663290808281243,0.23864258347016967,0.48330596606458676,0.21839080459770116,1.0,0.11386341970595226,0.1921182266009852,0.7829181788012565,0.0361247947454844,0.047619047619047616,0.13136288998357964,0.30327083902450747,-0.4582893217027002,0.38045709949825396,0.2320744389709907,-0.014299629349473679,0.083334354493821,0.47783251231527096,0.4909688013136289,0.49808429118773945,-0.03244915890842104,0.0863477618410526,0.4329501915708812,0.4822112753147236,0.4767378215654078,0.09415628937222975,0.04275147888445221,0.21839080459770116,0.16424856897928458,0.264556810632033,0.187500253609197,0.21065617133270323,0.29970346185403224,0.24171028446209517
